№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание;
100;Телевизор передняя часть нижняя;Mitsubishi Outlander XL;Б/у;Состояние/Износ - .;W0848;;2006;3000;1;5000;;
101;Рейка рулевая;Honda Accord;Б/у;Состояние/Износ - . Аккорд(02-07);W0456;;2002;2007;1;7000;;
102;Дверь задняя правая;Honda Accord;Б/у;Состояние/Износ - 10%. Аккорд (06-07);W0635;;2002;2007;1;7000;;
103;Дроссельная заслонка;Honda Accord;Б/у;Состояние/Износ - . Аккорд (06-07);W0702;;2002;2007;1;4000;;
104;Петли правой передней двери;Honda Accord;Б/у;Состояние/Износ - . Аккорд (06-07);W0747;;2002;2007;1;1500;;
105;Дверь задняя правая;Audi Q7;Б/у;Состояние/Износ - 10%. Ауди Q7;W0067;;2005;3000;1;8000;;
106;Крыло переднее правое;Audi Q7;Б/у;Состояние/Износ - . Ауди Q7;W0505;;2005;3000;1;7000;;
107;Корпус зеркала левого;Audi Q7;Б/у;Состояние/Износ - хор.. Ауди Q5;W0176;;2005;3000;1;500;;
108;Пластик над докаткой;Audi A5;Б/у;Состояние/Износ - . Ауди А5;W0443;;2008;3000;1;1000;;
109;Бампер задний;Audi A6;Б/у;Состояние/Износ - . Ауди А6;W0696;;1997;2004;1;2000;;
110;Бампер передний;Audi A6;Б/у;Состояние/Износ - . Ауди А6;W0619;;1997;2004;1;3000;;
111;Бампер передний;Audi A6;Б/у;Состояние/Износ - хор.. Ауди А6;W0971;;1997;2004;1;3000;;
112;Дверь задняя левая;Audi A6;Б/у;Состояние/Износ - 5%. Ауди А6;W0072;;2006;3000;1;3000;;
113;Дверь задняя правая;Audi A6;Б/у;Состояние/Износ - 5%. Ауди А6;W0074;;2006;3000;1;3000;;
114;Дверь передняя правая;Audi A6;Б/у;Состояние/Износ - 5%. Ауди А6;W0075;;2006;3000;1;3000;;
115;Бардачок нижний;Mitsubishi Outlander XL;Б/у;Состояние/Износ - хор..;W0592;;2006;3000;1;1500;;
116;Дверь задняя правая;Mazda 6;Б/у;Состояние/Износ - 15%. Мазда 6;W0434;;2002;2007;1;6000;;
117;Крыло переднее левое;Mazda 6;Б/у;Состояние/Износ - 10%. Мазда 6;W0997;;2002;2007;1;4000;;
118;Дверь задняя левая;Mazda 6;Б/у;Состояние/Износ - 5%. Мазда 6;W0040;;2002;2007;1;6000;;
119;Молдинг нижний левой задней двери;Mitsubishi Outlander XL;Б/у;Состояние/Износ - хор..;W0697;;2006;3000;1;2000;;
120;Диск тормозной передний лев,прав;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0909;;2002;2009;1;1000;;
121;Рулевая колонка;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0910;;2002;2009;1;1000;;
122;Усилитель заднего бампера;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0911;;2002;2009;1;3000;;
123;Кулак поворотный в сборе с ступицей лев,прав;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0912;;2002;2009;1;8000;;
124;Стартер;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0776;;2002;2009;1;3000;;
125;Планка метал;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0904;;2002;2009;1;1000;;
126;Части задней подвески левая и правая;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0906;;2002;2009;1;1000;;
